Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Yes,Yes,40,Technical
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,40,Technical
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,Yes,No,40,Technical
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,60,Technical
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,45,Technical
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,Yes,Yes,60,Technical
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,No,45,Technical
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,Yes,No,60,Sales
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Yes,No,60,Sales
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,Yes,No,60,Sales
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,Yes,No,60,Sales
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,Yes,No,60,Sales
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,Yes,No,60,Sales
SVAR - Spoken English (Indian Accent) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,Yes,No,30,Language
Sales & Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-solution/,Yes,No,45,Sales
Sales & Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-simulation/,Yes,No,45,Sales
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,Yes,No,30,Language
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,60,Personality
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,Yes,Yes,60,Cognitive
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,Yes,Yes,60,Cognitive
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,Yes,No,45,Technical
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,Yes,No,45,Technical
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Yes,No,40,Administrative
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,Yes,No,40,Administrative
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,Yes,Yes,60,Technical
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,Yes,Yes,60,Technical
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,Yes,No,40,Technical
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,Yes,No,40,Technical
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,Yes,No,40,Technical
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,No,40,Technical
Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,Yes,No,40,Technical
SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,Yes,No,40,Technical
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,Yes,Yes,40,Technical
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,Yes,No,40,Technical
Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,Yes,No,30,Cognitive
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,Yes,No,40,Finance
Bank Administrative Assistant (New),https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-new/,Yes,No,40,Administrative
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,Yes,No,40,Technical
SQL (New),https://www.shl.com/solutions/products/product-catalog/view/sql-new/,Yes,No,40,Technical
Cognitive Ability Test (New),https://www.shl.com/solutions/products/product-catalog/view/cognitive-ability-test-new/,Yes,Yes,30,Cognitive
Personality Questionnaire (OPQ),https://www.shl.com/solutions/products/product-catalog/view/personality-questionnaire-opq/,Yes,No,45,Personality
